Date,Amount,Description
04/04/2026,65.00,DAVID JONES SYDNEY
03/04/2026,12.50,DOMINOS PIZZA PARRAMATTA
03/04/2026,48.50,SHELL COLES EXPRESS AUBURN
02/04/2026,22.00,UBER* TRIP HELP.UBER.COM
02/04/2026,15.00,NETFLIX.COM NETFLIX.COM
01/04/2026,85.00,WOOLWORTHS REDFERN METRO
31/03/2026,44.99,SPOTIFY AU 31MAR26
31/03/2026,28.00,MACCAS PARRAMATTA WESTFIELD
30/03/2026,125.00,ALDI STORES 1234 AUBURN
30/03/2026,65.00,AMPOL PETROL AUBURN
29/03/2026,180.00,RENT PAYMENT BPay
28/03/2026,95.00,IGA SUPERMARKET LEICHHARDT
28/03/2026,18.50,CHEMIST WAREHOUSE AUBURN
27/03/2026,42.00,UBER EATS ORDER 27MAR
27/03/2026,22.00,MENULOG AU 27MAR
26/03/2026,450.00,VIRGIN AUSTRALIA SYDNEY
26/03/2026,88.00,COUNTRY ROAD SYDNEY
25/03/2026,12.99,DISNEY+ ONLINE SUBSCRIPTION
25/03/2026,9.99,GOOGLE* STORAGE MONTHLY
24/03/2026,155.00,WOOLWORTHS 1234 PARRAMATTA
24/03/2026,72.00,BP PETROL STATION AUBURN
23/03/2026,25.00,DIDI RIDE 23MAR
23/03/2026,850.00,SYDNEY AIRPORT HOTEL
22/03/2026,60.00,ANYTIME FITNESS MEMBERSHIP
22/03/2026,25.00,UBER* EATS SYDNEY 22MAR
21/03/2026,38.00,COLES SUPERMARKET AUBURN
21/03/2026,15.99,MICROSOFT 365 SUBSCRIPTION
20/03/2026,125.00,MYER SYDNEY CITY
20/03/2026,55.00,CALTEX PETROL PARRAMATTA
19/03/2026,32.00,AFTERPAY PTY LTD ZARA
19/03/2026,18.00,OPAL TOP UP CHATSWOOD
18/03/2026,95.00,THE STAR CASINO SYDNEY
17/03/2026,65.00,DOORDASH ORDER 17MAR
17/03/2026,12.00,MYKI TOP UP TRAIN STATION
16/03/2026,125.00,JB HI-FI AUBURN
16/03/2026,48.00,COLES EXPRESS LEICHHARDT
15/03/2026,22.50,MENULOG DELIVERY 15MAR
14/03/2026,75.00,PRICELINE PHARMACY AUBURN
13/03/2026,1200.00,SYDNEY DENTAL GROUP
12/03/2026,32.00,BUNNINGS WAREHOUSE AUBURN
11/03/2026,88.00,WOOLWORTHS 9876 AUBURN
11/03/2026,45.00,SHELL PETROL AUBURN
10/03/2026,18.50,UBER* EATS DELIVERY
10/03/2026,25.00,DIDI RIDE 10MAR
09/03/2026,299.00,APPLE.COM/BILL ANNUAL
08/03/2026,55.00,AMAZON AU MARKETPLACE
07/03/2026,38.00,COLES SUPERMARKET
06/03/2026,90.00,NIKE AUSTRALIA ONLINE
05/03/2026,-2000.00,PAYMENT RECEIVED - THANK YOU
